show_title,season_title,category,max_weeks,best_rank,entry_rank,tmdb_id,tmdb_rating,tmdb_vote_count,tmdb_popularity,genres,original_language,runtime_minutes,days_since_release,is_korean,is_sequel,budget_usd,avg_cast_popularity,first_week,is_breakout,lang_label
Single’s Inferno,Single’s Inferno: Season 3,TV,5,1,2,139798.0,7.724,85.0,26.3693,Reality|Comedy|Talk,ko,60.0,729.0,1,1,,2.58,2023-12-17,1,Korean
Single’s Inferno,Single’s Inferno: Season 4,TV,5,1,3,139798.0,7.724,85.0,26.3693,Reality|Comedy|Talk,ko,60.0,1128.0,1,1,,2.58,2025-01-19,1,Korean
Single’s Inferno,Single’s Inferno: Season 5,TV,4,1,3,139798.0,7.724,85.0,26.3693,Reality|Comedy|Talk,ko,60.0,1499.0,1,1,,2.58,2026-01-25,1,Korean
Siren: Survive the Island,Siren: Survive the Island: Limited Series,TV,3,4,6,226907.0,7.5,27.0,1.1827,Reality,ko,,5.0,1,0,,0.31,2023-06-04,0,Korean
Sister Death,,Films,1,10,10,955531.0,5.991,352.0,1.6342,Drama|Horror,es,91.0,31.0,0,0,0.0,1.11,2023-11-05,0,Other
Sixty Minutes,,Films,2,3,4,1212073.0,6.751,593.0,2.135,Action|Adventure|Crime|Drama|Thriller,de,89.0,9.0,0,0,0.0,1.72,2024-01-28,0,Other
Skyscraper,,Films,1,4,4,447200.0,6.308,5270.0,5.1286,Action|Thriller|Adventure,en,102.0,1824.0,0,0,125000000.0,4.67,2023-07-09,0,English
Sleep,,Films,3,2,5,743793.0,10.0,1.0,1.4695,Drama|Family,en,11.0,4196.0,0,0,0.0,0.85,2023-12-17,0,English
Snake Eyes: G.I. Joe Origins,,Films,2,4,7,568620.0,6.455,1681.0,4.3712,Action|Adventure,en,121.0,598.0,0,0,88000000.0,3.53,2023-03-12,0,English
Sniper: G.R.I.T. - Global Response & Intelligence Team,,Films,1,4,4,1171541.0,6.5,178.0,2.0758,Action|Thriller,en,92.0,342.0,0,0,0.0,2.06,2024-04-07,0,English
Sniper: Rogue Mission,,Films,2,5,6,997120.0,6.2,175.0,1.7271,Action|Thriller|Mystery,en,96.0,719.0,0,0,0.0,1.96,2024-08-04,0,English
Sniper: Ultimate Kill,,Films,2,1,7,464889.0,6.409,370.0,2.5862,Action,en,93.0,2287.0,0,0,0.0,2.06,2024-01-07,0,English
Society of the Snow,,Films,3,1,9,906126.0,7.977,3413.0,4.882,Drama|History,es,143.0,30.0,0,0,65500000.0,2.64,2024-01-14,0,Other
Soju Rhapsody,Soju Rhapsody: Season 1,TV,2,5,5,281794.0,0.0,0.0,0.8026,Documentary,ko,,3.0,1,0,,0.66,2025-01-26,0,Korean
Solo Leveling,Solo Leveling: Season 1,TV,19,5,8,127532.0,8.608,1560.0,71.6871,Animation|Action & Adventure|Sci-Fi & Fantasy,ja,24.0,7.0,0,0,,2.32,2024-01-14,1,Japanese
Someone You Loved,,Films,2,2,5,870144.0,5.6,10.0,0.615,Romance|Drama,ko,103.0,102.0,1,0,0.0,1.17,2023-05-21,0,Korean
Song of the Bandits,Song of the Bandits: Season 1,TV,5,1,9,136368.0,7.368,57.0,3.506,Action & Adventure|Drama,ko,,2.0,1,0,,1.16,2023-09-24,1,Korean
Sonic the Hedgehog 2,,Films,1,8,8,675353.0,7.441,5765.0,10.8049,Action|Adventure|Family|Comedy,en,123.0,592.0,0,0,110000000.0,4.88,2023-11-12,0,English
Soulcatcher,,Films,2,9,10,1149381.0,6.348,283.0,1.2486,Action|Thriller,pl,99.0,4.0,0,0,0.0,1.63,2023-08-06,0,Other
Spider-Man: Across the Spider-Verse,,Films,2,4,9,569094.0,8.335,8272.0,24.3329,Animation|Action|Adventure|Science Fiction,en,140.0,151.0,0,0,100000000.0,4.44,2023-10-29,0,English
Split,,Films,1,7,7,381288.0,7.3,18124.0,10.2139,Horror|Thriller,en,117.0,2474.0,0,0,9000000.0,6.15,2023-10-29,0,English
Spy Kids: Armageddon,,Films,1,10,10,790493.0,5.97,168.0,2.2447,Family|Comedy|Adventure|Science Fiction,en,94.0,9.0,0,0,0.0,1.54,2023-10-01,0,English
Spy x Family Code: White,,Films,1,9,9,1062807.0,7.111,610.0,4.8378,Animation|Comedy|Adventure|Action,ja,110.0,373.0,0,0,5000000.0,3.01,2024-12-29,0,Japanese
Squad 36,,Films,1,6,6,1230208.0,6.242,178.0,2.1786,Action|Crime|Drama|Thriller,fr,124.0,10.0,0,0,0.0,1.29,2025-03-09,0,Other
