country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,days_since_release,is_korean,season_number,is_sequel,competing_titles_this_week
Japan,JP,2026-02-01,TV,4,Silent Truth,Silent Truth: Season 1,3,306207.0,tv,Silent Truth,Mystery,,2026-01-13,7.0,1.0,6.2546,ja,JP,,,Noriko Eguchi|Sayuri Inoue|Ryoma Takeuchi|Kana Kita|Mao Inoue,1.35,,1.0,9.0,Returning Series,19.0,0,1,0,20
Japan,JP,2026-02-01,TV,5,【OSHI NO KO】,【OSHI NO KO】: Season 3,2,203737.0,tv,【OSHI NO KO】,Animation|Drama,,2023-04-12,8.343,299.0,37.3041,ja,JP,,,Manaka Iwami|Kent Ito|Takeo Otsuka|Rumi Okubo|Megumi Han,1.83,,1.0,35.0,Returning Series,1026.0,0,3,1,20
Japan,JP,2026-02-01,TV,6,Single’s Inferno,Single’s Inferno: Season 5,2,139798.0,tv,Single's Inferno,Reality|Comedy|Talk,60.0,2021-12-18,7.724,85.0,26.3693,ko,KR,,,Jo Yi-geon|Dex|Lee Da-hee|Hong Jin-kyung|Hanhae,2.58,Kim Jae-won|Kim Na-hyun,5.0,53.0,Returning Series,1506.0,1,5,1,20
Japan,JP,2026-02-01,TV,7,The Boyfriend,The Boyfriend: Season 2,3,256220.0,tv,The Boyfriend,Reality,,2024-07-09,8.35,20.0,5.6435,ja,JP,,,Chiaki Horan|Durian Lollobrigida|MEGUMI|Thelma Aoyama|Yoshimi Tokui,0.95,,2.0,25.0,Returning Series,572.0,0,2,1,20
Japan,JP,2026-02-01,TV,8,Starto Countdown 2025→2026,Starto Countdown 2025→2026: Season 1,3,1612719.0,movie,Starto Countdown 2025→2026,,126.0,,0.0,0.0,0.0256,en,,0.0,0.0,,0.0,,,,Released,,0,1,0,20
Japan,JP,2026-02-01,TV,9,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,2,229891.0,tv,Can This Love Be Translated?,Drama|Comedy,75.0,2026-01-16,8.6,75.0,19.5449,ko,KR,,,Go Youn-jung|Kim Seon-ho|Lee E-dam|Sota Fukushi|Choi Woo-sung,3.09,Hong Jeong-eun|Hong Mi-ran|Yoo Young-eun,1.0,12.0,Ended,16.0,1,1,0,20
Japan,JP,2026-02-01,TV,10,You and I Are Polar Opposites,You and I Are Polar Opposites: Season 1,2,278043.0,tv,You and I Are Polar Opposites,Animation|Comedy,24.0,2026-01-11,8.7,13.0,18.9613,ja,JP,,,Tomori Kusunoki|Sayumi Suzushiro|Miyuri Shimabukuro|Shogo Sakata|Wataru Katoh,1.23,,1.0,12.0,Returning Series,21.0,0,1,0,20
Japan,JP,2026-01-25,Films,1,The Rip,,2,1306368.0,movie,The Rip,Action|Thriller|Crime,113.0,2026-01-13,7.063,1202.0,78.6886,en,US,100000000.0,0.0,Ben Affleck|Matt Damon|Scott Adkins|Teyana Taylor|Sasha Calle,6.23,Joe Carnahan,,,Released,12.0,0,1,0,20
Japan,JP,2026-01-25,Films,2,BAKA’s Identity,,1,1466302.0,movie,BAKA's Identity,Crime|Drama|Thriller,130.0,2025-10-24,7.4,5.0,1.464,ja,JP,0.0,20784.0,Go Ayano|Yoshiyuki Yamaguchi|Yuma Yamoto|Haruka Kinami|Mizuki Yamashita,1.34,Koto Nagata,,,Released,93.0,0,1,0,20
Japan,JP,2026-01-25,Films,3,SHAM,,3,545368.0,movie,Sham,Drama|Romance,50.0,1921-05-05,0.0,0.0,0.1596,en,US,0.0,0.0,Ethel Clayton|Carrie Clark Ward|Sylvia Ashton|Theodore Roberts|Helen Dunbar,0.54,Thomas N. Heffron,,,Released,38251.0,0,1,0,20
