country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2025-12-07,TV,8,SPY x FAMILY,SPY x FAMILY: Season 3,9
Japan,JP,2025-12-07,TV,9,One-Punch Man,One-Punch Man: Season 3,7
Japan,JP,2025-12-07,TV,10,Passing the Reins,Passing the Reins: Season 1,8
Japan,JP,2025-11-30,Films,1,Summer Wars,,4
Japan,JP,2025-11-30,Films,2,Belle,,1
Japan,JP,2025-11-30,Films,3,The Boy and the Beast,,4
Japan,JP,2025-11-30,Films,4,Muroi Shinji: Not Defeated,,3
Japan,JP,2025-11-30,Films,5,Wolf Children,,4
Japan,JP,2025-11-30,Films,6,KPop Demon Hunters,,23
Japan,JP,2025-11-30,Films,7,Jingle Bell Heist,,1
Japan,JP,2025-11-30,Films,8,My SO Has Depression,,1
Japan,JP,2025-11-30,Films,9,Mirai,,2
Japan,JP,2025-11-30,Films,10,Champagne Problems,,2
Japan,JP,2025-11-30,TV,1,Last Samurai Standing,Last Samurai Standing: Season 1,3
Japan,JP,2025-11-30,TV,2,Scandal Eve,Scandal Eve: Season 1,2
Japan,JP,2025-11-30,TV,3,Stranger Things,Stranger Things 5,1
Japan,JP,2025-11-30,TV,4,Dynamite Kiss,Dynamite Kiss: Limited Series,3
Japan,JP,2025-11-30,TV,5,Just a Bit Espers,Just a Bit Espers: Season 1,6
Japan,JP,2025-11-30,TV,6,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,6
Japan,JP,2025-11-30,TV,7,SPY x FAMILY,SPY x FAMILY: Season 3,8
Japan,JP,2025-11-30,TV,8,One-Punch Man,One-Punch Man: Season 3,6
Japan,JP,2025-11-30,TV,9,Passing the Reins,Passing the Reins: Season 1,7
Japan,JP,2025-11-30,TV,10,Kingdom,Kingdom: Series 6,8
Japan,JP,2025-11-23,Films,1,Muroi Shinji: Not Defeated,,2
Japan,JP,2025-11-23,Films,2,Crows Explode,,2
Japan,JP,2025-11-23,Films,3,Crows: Episode Zero,,1
Japan,JP,2025-11-23,Films,4,Crows: Episode Zero II,,1
Japan,JP,2025-11-23,Films,5,KPop Demon Hunters,,22
Japan,JP,2025-11-23,Films,6,Champagne Problems,,1
Japan,JP,2025-11-23,Films,7,Frankenstein,,3
Japan,JP,2025-11-23,Films,8,The Voice of Sin,,5
Japan,JP,2025-11-23,Films,9,A HOUSE OF DYNAMITE,,5
Japan,JP,2025-11-23,Films,10,Dogman,,1
Japan,JP,2025-11-23,TV,1,Last Samurai Standing,Last Samurai Standing: Season 1,2
Japan,JP,2025-11-23,TV,2,Scandal Eve,Scandal Eve: Season 1,1
Japan,JP,2025-11-23,TV,3,Bogus Skill <<Fruitmaster>> ~About that time I became able to eat unlimited numbers of Skill Fruits (that kill you) ~,Bogus Skill <<Fruitmaster>> ~About that time I became able to eat unlimited numbers of Skill Fruits (that kill you) ~: Season 1,1
Japan,JP,2025-11-23,TV,4,Dynamite Kiss,Dynamite Kiss: Limited Series,2
Japan,JP,2025-11-23,TV,5,Just a Bit Espers,Just a Bit Espers: Season 1,5
Japan,JP,2025-11-23,TV,6,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,5
Japan,JP,2025-11-23,TV,7,One-Punch Man,One-Punch Man: Season 3,5
Japan,JP,2025-11-23,TV,8,SPY x FAMILY,SPY x FAMILY: Season 3,7
Japan,JP,2025-11-23,TV,9,Kingdom,Kingdom: Series 6,7
Japan,JP,2025-11-23,TV,10,Passing the Reins,Passing the Reins: Season 1,6
Japan,JP,2025-11-16,Films,1,Muroi Shinji: Not Defeated,,1
Japan,JP,2025-11-16,Films,2,Frankenstein,,2
Japan,JP,2025-11-16,Films,3,Crows Explode,,1
Japan,JP,2025-11-16,Films,4,It Takes More Than a Pretty Face To Fall in Love,,2
Japan,JP,2025-11-16,Films,5,KPop Demon Hunters,,21
Japan,JP,2025-11-16,Films,6,A HOUSE OF DYNAMITE,,4
Japan,JP,2025-11-16,Films,7,OVERLORD:The Sacred Kingdom,,3
Japan,JP,2025-11-16,Films,8,A Time to Kill,,1
Japan,JP,2025-11-16,Films,9,Partners: The Movie II,,1
Japan,JP,2025-11-16,Films,10,Jack Reacher: Never Go Back,,4
Japan,JP,2025-11-16,TV,1,Last Samurai Standing,Last Samurai Standing: Season 1,1
Japan,JP,2025-11-16,TV,2,Just a Bit Espers,Just a Bit Espers: Season 1,4
Japan,JP,2025-11-16,TV,3,As You Stood By,As You Stood By: Limited Series,1
Japan,JP,2025-11-16,TV,4,Dynamite Kiss,Dynamite Kiss: Limited Series,1
Japan,JP,2025-11-16,TV,5,One-Punch Man,One-Punch Man: Season 3,4
Japan,JP,2025-11-16,TV,6,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,4
Japan,JP,2025-11-16,TV,7,SPY x FAMILY,SPY x FAMILY: Season 3,6
Japan,JP,2025-11-16,TV,8,Kingdom,Kingdom: Series 6,6
Japan,JP,2025-11-16,TV,9,Passing the Reins,Passing the Reins: Season 1,5
Japan,JP,2025-11-16,TV,10,"Backstabbed in a Backwater Dungeon: My Trusted Companions Tried to Kill Me, but Thanks to the Gift of an Unlimited Gacha I Got LVL 9999 Friends and Am Out for Revenge on My Former Party Members and the World","Backstabbed in a Backwater Dungeon: My Trusted Companions Tried to Kill Me, but Thanks to the Gift of an Unlimited Gacha I Got LVL 9999 Friends and Am Out for Revenge on My Former Party Members and the World: Season 1",5
Japan,JP,2025-11-09,Films,1,OVERLORD:The Sacred Kingdom,,2
Japan,JP,2025-11-09,Films,2,A HOUSE OF DYNAMITE,,3
Japan,JP,2025-11-09,Films,3,Frankenstein,,1
Japan,JP,2025-11-09,Films,4,It Takes More Than a Pretty Face To Fall in Love,,1
Japan,JP,2025-11-09,Films,5,KPop Demon Hunters,,20
Japan,JP,2025-11-09,Films,6,5 Centimeters Per Second,,1
Japan,JP,2025-11-09,Films,7,Ghostbusters: Frozen Empire,,1
Japan,JP,2025-11-09,Films,8,All About Suomi,,4
Japan,JP,2025-11-09,Films,9,The Garden of Words,,1
Japan,JP,2025-11-09,Films,10,Jack Reacher: Never Go Back,,3
Japan,JP,2025-11-09,TV,1,Just a Bit Espers,Just a Bit Espers: Season 1,3
Japan,JP,2025-11-09,TV,2,Kyojo,,2
Japan,JP,2025-11-09,TV,3,One-Punch Man,One-Punch Man: Season 3,3
Japan,JP,2025-11-09,TV,4,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,3
Japan,JP,2025-11-09,TV,5,SPY x FAMILY,SPY x FAMILY: Season 3,5
Japan,JP,2025-11-09,TV,6,Kyojo,Kyojo: Ⅱ,1
Japan,JP,2025-11-09,TV,7,Passing the Reins,Passing the Reins: Season 1,4
Japan,JP,2025-11-09,TV,8,Kingdom,Kingdom: Series 6,5
Japan,JP,2025-11-09,TV,9,Romantics Anonymous,Romantics Anonymous: Season 1,4
