tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,show_title
1221404.0,movie,Crayon Shin-chan the Movie: Our Dinosaur Diary,Animation|Adventure|Comedy|Family,106.0,2024-08-09,5.7,36.0,1.9228,ja,JP,0.0,21478573.0,Toshiyuki Morikawa|Maaya Uchida|Hiroki Yasumoto|Nana Mizuki|Haruka Tomatsu,2.86,Shinobu Sasaki,,,Released,Crayon Shin-chan the Movie: Our Dinosaur Diary
686457.0,movie,Commission,Documentary|Science Fiction,6.0,2019-08-13,0.0,0.0,0.0,lv,LV,0.0,0.0,Ieva Balode|Gvantsa Jishkariani|Solvita Krese|Andra Silapētere|Inga Lāce,0.01,Ieva Balode,,,Released,Commission
72559.0,movie,G.I. Joe: Retaliation,Action|Science Fiction|Adventure|Thriller,110.0,2013-03-27,5.651,5700.0,5.6292,en,CA|US,130000000.0,371900000.0,Dwayne Johnson|Bruce Willis|Walton Goggins|Channing Tatum|Lee Byung-hun,5.56,Jon M. Chu,,,Released,G.I. Joe: Retaliation
1062722.0,movie,Frankenstein,Drama|Fantasy|Horror,150.0,2025-10-17,7.677,2938.0,34.2854,en,US|CA,120000000.0,480678.0,Jacob Elordi|Mia Goth|Charles Dance|Christoph Waltz|Oscar Isaac,7.55,Guillermo del Toro,,,Released,Frankenstein
307057.0,tv,Chasing Borderless Crime,Documentary,,2025-11-30,0.0,0.0,0.3709,ko,KR,,,Jang Hyun-sung,0.79,,1.0,6.0,Returning Series,Chasing Borderless Crime
280946.0,tv,Typhoon Family,Drama,,2025-10-11,8.2,34.0,5.0232,ko,KR,,,Lee Jun-ho|Jin Sun-kyu|Kim Hye-eun|Kim Min-ha|Moo Jin-sung,1.84,Lee Na-jeong,1.0,16.0,Ended,Typhoon Family
291541.0,movie,Paradise,Drama|TV Movie,93.0,2004-01-01,3.333,6.0,3.8512,en,US,0.0,0.0,Rick Hoffman|Richard T. Jones|James LeGros|Shea Whigham|David Strathairn,2.73,Frank Pierson,,,Released,Paradise
1323475.0,movie,Champagne Problems,Romance|Comedy,99.0,2025-11-18,6.032,203.0,2.4149,en,US|FR,0.0,0.0,Minka Kelly|Flula Borg|Thierry René|Tom Wozniczka|Xavier Samuel,2.48,Mark Steven Johnson,,,Released,Champagne Problems
1290182.0,movie,You Are the Apple of My Eye,Romance|Drama|Comedy,102.0,2025-02-21,8.52,50.0,8.1946,ko,KR,0.0,302086.0,Son Woo-hyeon|Park Sung-woong|Kim Min-ju|Lee Ju-seung|Demian,1.36,Cho Young-myoung,,,Released,You Are the Apple of My Eye
435366.0,movie,Fabricated City,Action|Thriller|Crime,126.0,2017-02-09,7.7,340.0,2.4356,ko,KR,0.0,0.0,Ji Chang-wook|Shim Won-cheol|Kim Sang-ho|Oh Jung-se|Park Ji-hu,4.18,Bae Jong,,,Released,Fabricated City
